timestep,reward
23,-0.154
146029,0.091
290888,0.061
436020,0.099
581115,0.128
726699,0.117
872161,0.068
1017534,0.16
1162908,0.171
1308339,0.196
1454212,0.245
1599555,0.142
1745343,0.178
1890482,0.175
2035901,0.149
2181093,0.166
2326053,0.177
2470743,0.164
2616780,0.166
2762580,0.193
2907588,0.191
3052857,0.13
3198467,0.23
3344372,0.285
3489867,0.165
3635783,0.085
3781171,0.081
3926851,0.143
4072384,0.145
4217470,0.119
