timestep,reward
23,-0.376
300237,-0.1145
605087,-0.068
907799,-0.0575
1204802,-0.094
1500946,-0.0715
1796928,-0.1115
2090357,-0.037
2384446,-0.133
2678771,-0.045
2973987,-0.0625
3268052,-0.054
3562026,-0.0765
3856335,0.0015
4150336,-0.075
4444031,0.021
4738391,-0.006
5033416,-0.0975
5327972,-0.034
5623504,0.017
5919031,-0.066
6214481,-0.026
6509596,-0.011
6803891,-0.0415
7099246,-0.058
7394450,-0.066
7689322,-0.025
7983925,-0.0365
8279416,-0.0715
8574769,-0.0145
8870764,-0.0345
9166108,-0.0365
9461559,0.052
9757156,0.0015
10054426,-0.0385
10349374,-0.0145
10644862,-0.0755
10941938,-0.0065
11237479,-0.0395
11534606,-0.0485
11831267,0.0105
12127955,-0.015
12423340,-0.0545
12718706,-0.0475
13014102,-0.084
13309442,0.004
13605303,0.0025
13902580,-0.0485
14199602,-0.029
14495536,-0.057
