timestep,reward
23,-0.255
123872,-0.01
243644,0.034
363031,0.037
483155,0.0585
602360,0.0685
721168,0.1055
841645,0.113
962219,0.086
1083056,0.163
1203741,0.17
1324489,0.0995
1445354,0.106
1566543,0.154
1687498,0.1615
1808458,0.136
1929658,0.178
2051438,0.164
2172163,0.094
2293191,0.129
2413720,0.1125
2534435,0.139
2655738,0.1665
2777143,0.187
2898643,0.1465
3019557,0.098
3140028,0.1545
3261209,0.1785
3382725,0.2265
3503933,0.1465
3624520,0.09
3744407,0.141
3865342,0.1985
3986351,0.1765
4107624,0.12
4228600,0.156
4349113,0.194
4470008,0.2015
4590714,0.184
4711150,0.1995
4832130,0.2015
4953359,0.186
5074040,0.1625
5195188,0.1635
5316359,0.1605
5437277,0.119
5558172,0.2035
5679103,0.1485
5800152,0.1375
5921475,0.1635
